date_unix,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,weather_main,weather_description,clouds
1423062307,274.02,1027.67,30,274.02,274.02,5.86,344.5,Clouds,broken clouds,56
1423165855,273.28,1028.06,27,273.28,273.28,5.88,343.501,Clear,Sky is Clear,0
1423169375,273.28,1028.06,27,273.28,273.28,5.88,343.501,Clear,Sky is Clear,0
1423172955,273.28,1028.06,27,273.28,273.28,5.88,343.501,Clear,Sky is Clear,0
1423176602,269.811,1031.55,31,269.811,269.811,4.65,346.002,Clear,Sky is Clear,0
1423180177,269.811,1031.55,31,269.811,269.811,4.65,346.002,Clear,Sky is Clear,0
1423183748,269.811,1031.55,31,269.811,269.811,4.65,346.002,Clear,Sky is Clear,0
1423187316,267.422,1034.07,33,267.422,267.422,3.6,351.503,Clear,Sky is Clear,0
1423190915,267.422,1034.07,33,267.422,267.422,3.6,351.503,Clear,Sky is Clear,0
1423194507,267.422,1034.07,33,267.422,267.422,3.6,351.503,Clear,Sky is Clear,0
1423198102,265.331,1035.09,39,265.331,265.331,2.78,352.502,Clear,Sky is Clear,0
1423201728,265.331,1035.09,39,265.331,265.331,2.78,352.502,Clear,Sky is Clear,0
1423205289,265.331,1035.09,39,265.331,265.331,2.78,352.502,Clear,Sky is Clear,0
1423208929,262.714,1035.89,48,262.714,262.714,1.77,354.5,Clear,Sky is Clear,0
1423212492,262.714,1035.89,48,262.714,262.714,1.77,354.5,Clear,Sky is Clear,0
1423216100,262.714,1035.89,48,262.714,262.714,1.77,354.5,Clear,Sky is Clear,0
1423219842,259.867,1036.46,68,259.867,259.867,0.76,27.0002,Clear,Sky is Clear,0
1423223328,259.867,1036.46,68,259.867,259.867,0.76,27.0002,Clear,Sky is Clear,0
1423237948,268.596,1036.72,38,268.596,268.596,1.61,208.501,Clear,Sky is Clear,0
1423259384,276.689,1031.1,27,276.689,276.689,3.67,241.5,Clouds,scattered clouds,36
1423262964,275.817,1031.35,29,275.817,275.817,3.01,250.503,Clouds,broken clouds,76
1423266572,275.817,1031.35,29,275.817,275.817,3.01,250.503,Clouds,broken clouds,76
1423270109,275.817,1031.35,29,275.817,275.817,3.01,250.503,Clouds,broken clouds,76
1423273725,274.641,1031.48,34,274.641,274.641,2.46,265.005,Clear,Sky is Clear,0
1423277359,274.641,1031.48,34,274.641,274.641,2.46,265.005,Clear,Sky is Clear,0
1423280922,274.641,1031.48,34,274.641,274.641,2.46,265.005,Clear,Sky is Clear,0
1423284524,268.324,1031.23,58,268.324,268.324,1.16,256.003,Clear,Sky is Clear,0
1423288123,268.324,1031.23,58,268.324,268.324,1.16,256.003,Clear,Sky is Clear,0
1423291711,268.324,1031.23,58,268.324,268.324,1.16,256.003,Clear,Sky is Clear,0
1423295327,265.601,1030.83,67,265.601,265.601,0.71,166.002,Clear,Sky is Clear,0
1423298896,265.601,1030.83,67,265.601,265.601,0.71,166.002,Clear,Sky is Clear,0
1423302533,265.601,1030.83,67,265.601,265.601,0.71,166.002,Clear,Sky is Clear,0
1423306123,264.793,1030.65,61,264.793,264.793,1.4,131.502,Clear,sky is clear,8
1423309785,264.793,1030.65,61,264.793,264.793,1.4,131.502,Clear,sky is clear,8
1423313319,264.793,1030.65,61,264.793,264.793,1.4,131.502,Clear,sky is clear,8
1423316959,277.687,1030.19,29,277.687,277.687,2.07,193.505,Clouds,broken clouds,64
1423320571,277.687,1030.19,29,277.687,277.687,2.07,193.505,Clouds,broken clouds,64
1423324141,277.687,1030.19,29,277.687,277.687,2.07,193.505,Clouds,broken clouds,64
1423327774,283.969,1026.89,28,283.969,283.969,3.3,214.002,Clouds,few clouds,12
1423331384,283.969,1026.89,28,283.969,283.969,3.3,214.002,Clouds,few clouds,12
1423335067,283.969,1026.89,28,283.969,283.969,3.3,214.002,Clouds,few clouds,12
1423338615,285.294,1024.11,29,285.294,285.294,4.02,232.503,Clear,Sky is Clear,0
1423342188,285.294,1024.11,29,285.294,285.294,4.02,232.503,Clear,Sky is Clear,0
1423356527,281.103,1024.77,37,281.103,281.103,3.07,224.002,Clear,Sky is Clear,0
1423360159,279.089,1024.13,42,279.089,279.089,3.24,212.014,Clouds,few clouds,20
1423392531,277.083,1022.6,55,277.083,277.083,3.01,227.001,Clouds,few clouds,12
1423396136,277.083,1022.6,55,277.083,277.083,3.01,227.001,Clouds,few clouds,12
1423399757,277.083,1022.6,55,277.083,277.083,3.01,227.001,Clouds,few clouds,12
1423403341,283.516,1022.38,42,283.516,283.516,2.59,228.009,Clear,sky is clear,8
1423406939,284.691,1021.33,38,284.691,284.691,2.73,225.506,Clear,sky is clear,8
1423410560,283.516,1022.38,42,283.516,283.516,2.59,228.009,Clear,sky is clear,8
1423414207,290.267,1019.18,33,290.267,290.267,3.29,228.008,Clouds,few clouds,12
1423417797,290.267,1019.18,33,290.267,290.267,3.29,228.008,Clouds,few clouds,12
1423421398,290.267,1019.18,33,290.267,290.267,3.29,228.008,Clouds,few clouds,12
1423425260,290.934,1016.94,34,290.934,290.934,3.77,228.506,Clear,Sky is Clear,0
1423428596,290.934,1016.94,34,290.934,290.934,3.77,228.506,Clear,Sky is Clear,0
1423432174,290.934,1016.94,34,290.934,290.934,3.77,228.506,Clear,Sky is Clear,0
1423435764,286.447,1016.86,43,286.447,286.447,2.81,225,Clouds,few clouds,12
1423439363,286.447,1016.86,43,286.447,286.447,2.81,225,Clouds,few clouds,12
1423442937,286.447,1016.86,43,286.447,286.447,2.81,225,Clouds,few clouds,12
1423446542,283.291,1016.54,50,283.291,283.291,3.02,214,Clouds,few clouds,20
1423450161,283.291,1016.54,50,283.291,283.291,3.02,214,Clouds,few clouds,20
1423453724,283.291,1016.54,50,283.291,283.291,3.02,214,Clouds,few clouds,20
1423457364,284.369,1015.6,49,284.369,284.369,3.36,219.001,Clouds,broken clouds,64
1423460896,284.369,1015.6,49,284.369,284.369,3.36,219.001,Clouds,broken clouds,64
1423464508,284.369,1015.6,49,284.369,284.369,3.36,219.001,Clouds,broken clouds,64
1423468146,285.07,1015.14,56,285.07,285.07,2.93,232.502,Clouds,broken clouds,80
1423471708,285.07,1015.14,56,285.07,285.07,2.93,232.502,Clouds,broken clouds,80
1423475325,285.07,1015.14,56,285.07,285.07,2.93,232.502,Clouds,broken clouds,80
1423478969,284.071,1015.59,66,284.071,284.071,2.41,237.505,Clouds,broken clouds,64
1423482552,284.071,1015.59,66,284.071,284.071,2.41,237.505,Clouds,broken clouds,64
1423486151,284.071,1015.59,66,284.071,284.071,2.41,237.505,Clouds,broken clouds,64
1423489759,288.063,1015.71,56,288.063,288.063,1.74,230,Clouds,overcast clouds,88
1423493471,284.727,1017.65,51,284.727,284.727,1.6,41.0039,Clouds,scattered clouds,32
1423497021,284.727,1017.65,51,284.727,284.727,1.6,41.0039,Clouds,scattered clouds,32
1423500824,288.422,1016.48,46,288.422,288.422,1.58,45.5083,Clouds,broken clouds,80
1423504200,288.422,1016.48,46,288.422,288.422,1.58,45.5083,Clouds,broken clouds,80
1423522112,284.102,1017.24,67,284.102,284.102,3.21,60.0004,Clouds,overcast clouds,88
1423525767,284.102,1017.24,67,284.102,284.102,3.21,60.0004,Clouds,overcast clouds,88
1423529324,284.102,1017.24,67,284.102,284.102,3.21,60.0004,Clouds,overcast clouds,88
1423532921,281.023,1018.66,95,281.023,281.023,2.97,61.5042,Rain,light rain,92
1423536567,281.023,1018.66,95,281.023,281.023,2.97,61.5042,Rain,light rain,92
1423543819,278.888,1018.88,99,278.888,278.888,3.43,34.5074,Rain,light rain,92
1423547297,278.888,1018.88,99,278.888,278.888,3.43,34.5074,Rain,light rain,92
1423550905,278.888,1018.88,99,278.888,278.888,3.43,34.5074,Rain,light rain,92
1423554509,277.288,1019.62,99,277.288,277.288,3.98,25.5021,Rain,light rain,92
1423558061,277.288,1019.62,99,277.288,277.288,3.98,25.5021,Rain,light rain,92
1423561698,277.288,1019.62,99,277.288,277.288,3.98,25.5021,Rain,light rain,92
1423565284,276.646,1021.54,100,276.646,276.646,4,23.001,Rain,light rain,92
1423569021,276.646,1021.54,100,276.646,276.646,4,23.001,Rain,light rain,92
1423572490,276.646,1021.54,100,276.646,276.646,4,23.001,Rain,light rain,92
1423576127,276.549,1023.55,96,276.549,276.549,3.97,22.5024,Rain,light rain,92
1423579802,276.549,1023.55,96,276.549,276.549,3.97,22.5024,Rain,light rain,92
1423583358,276.549,1023.55,96,276.549,276.549,3.97,22.5024,Rain,light rain,92
1423587033,277.523,1024.16,86,277.523,277.523,3.92,22.5015,Rain,light rain,92
1423594214,276.411,1022.91,68,276.411,276.411,4.65,9.00381,Clouds,broken clouds,76
1423597809,277.135,1022.56,68,277.135,277.135,4.46,14.5002,Clouds,broken clouds,76
1423601386,277.135,1022.56,68,277.135,277.135,4.46,14.5002,Clouds,broken clouds,76
1423604985,277.135,1022.56,68,277.135,277.135,4.46,14.5002,Clouds,broken clouds,76
1423608594,276.266,1024.44,73,276.266,276.266,3.97,12.5029,Clouds,scattered clouds,44
1423612335,276.266,1024.44,73,276.266,276.266,3.97,12.5029,Clouds,scattered clouds,44
1423615898,276.266,1024.44,73,276.266,276.266,3.97,12.5029,Clouds,scattered clouds,44
1423619340,275.43,1024.99,73,275.43,275.43,3.81,13.5019,Clouds,scattered clouds,48
1423622964,275.43,1024.99,73,275.43,275.43,3.81,13.5019,Clouds,scattered clouds,48
1423626513,275.43,1024.99,73,275.43,275.43,3.81,13.5019,Clouds,scattered clouds,48
1423630088,274.928,1025.16,73,274.928,274.928,3.27,14.5008,Clouds,scattered clouds,36
1423633695,274.928,1025.16,73,274.928,274.928,3.27,14.5008,Clouds,scattered clouds,36
1423637387,274.928,1025.16,73,274.928,274.928,3.27,14.5008,Clouds,scattered clouds,36
1423640972,272.336,1025.49,80,272.336,272.336,3.14,7.50452,Clear,Sky is Clear,0
1423648175,272.336,1025.49,80,272.336,272.336,3.14,7.50452,Clear,Sky is Clear,0
1423651975,270.261,1026.64,86,270.261,270.261,2.59,8.00244,Clear,Sky is Clear,0
1423655495,270.261,1026.64,86,270.261,270.261,2.59,8.00244,Clear,Sky is Clear,0
1423684371,280.605,1022.31,46,280.605,280.605,1.56,348.502,Clear,sky is clear,8
1423687813,280.605,1022.31,46,280.605,280.605,1.56,348.502,Clear,sky is clear,8
1423691343,280.605,1022.31,46,280.605,280.605,1.56,348.502,Clear,sky is clear,8
1423694968,274.087,1021.86,75,274.087,274.087,1.17,119.506,Clear,Sky is Clear,0
1423698552,274.087,1021.86,75,274.087,274.087,1.17,119.506,Clear,Sky is Clear,0
1423702147,274.087,1021.86,75,274.087,274.087,1.17,119.506,Clear,Sky is Clear,0
1423705731,272.353,1021.24,77,272.353,272.353,2.5,158.503,Clouds,scattered clouds,44
1423709352,272.353,1021.24,77,272.353,272.353,2.5,158.503,Clouds,scattered clouds,44
1423712892,272.353,1021.24,77,272.353,272.353,2.5,158.503,Clouds,scattered clouds,44
1423716531,272.629,1019.42,80,272.629,272.629,2.56,194.501,Clear,Sky is Clear,0
1423720128,272.629,1019.42,80,272.629,272.629,2.56,194.501,Clear,Sky is Clear,0
1423723699,272.629,1019.42,80,272.629,272.629,2.56,194.501,Clear,Sky is Clear,0
1423727306,271.868,1018.65,91,271.868,271.868,2.35,261.005,Clear,Sky is Clear,0
1423730904,271.868,1018.65,91,271.868,271.868,2.35,261.005,Clear,Sky is Clear,0
1423734500,271.868,1018.65,91,271.868,271.868,2.35,261.005,Clear,Sky is Clear,0
1423738112,269.065,1018.37,83,269.065,269.065,1.16,256.002,Clear,Sky is Clear,0
1423741722,269.065,1018.37,83,269.065,269.065,1.16,256.002,Clear,Sky is Clear,0
1423745354,269.065,1018.37,83,269.065,269.065,1.16,256.002,Clear,Sky is Clear,0
1423748953,279.343,1018.11,55,279.343,279.343,1.62,236.502,Clear,Sky is Clear,0
1423752673,279.576,1017.82,54,279.576,279.576,1.62,238.501,Clear,Sky is Clear,0
1423756185,279.576,1017.82,54,279.576,279.576,1.62,238.501,Clear,Sky is Clear,0
1423760072,281.203,1016.18,50,281.203,281.203,3.32,306.001,Clouds,overcast clouds,92
1423763396,281.362,1015.72,48,281.362,281.362,3.07,300.501,Clouds,broken clouds,80
1423766965,281.362,1015.72,48,281.362,281.362,3.07,300.501,Clouds,broken clouds,80
1423770582,277.591,1016.8,60,277.591,277.591,3.91,324.51,Clouds,overcast clouds,88
1423774181,277.591,1016.8,60,277.591,277.591,3.91,324.51,Clouds,overcast clouds,88
1423777780,277.591,1016.8,60,277.591,277.591,3.91,324.51,Clouds,overcast clouds,88
1423781359,273.767,1020.89,51,273.767,273.767,5.02,317.503,Rain,light rain,36
1423784922,273.767,1020.89,51,273.767,273.767,5.02,317.503,Rain,light rain,36
